abdome 	parte do corpo situada entre o tórax e a pelve; barriga
córtex cerebral 	parte externa do cérebro, que todos chamam de "massa cinzenta", por causa de sua coloração acinzentada; é responsável pela nossa capacidade de pensamento, movimento voluntário, linguagem, julgamento e percepção
córtex motor primário 	responsável pela produção de movimentos corporais voluntários; as áreas de associação ajudam a planejar e executar atividades motoras complexas
córtex visual 	parte do cérebro responsável pelos processos de percepção e reconhecimento visual; diretamente ligado ao nosso sentido da visão; o mesmo que córtex visual
cortisol 	hormônio produzido pelas glândulas suprarreinas (Ver no glossário) e diretamente envolvido na resposta ao estresse
covid	doença contagiosa provocada pelo coronavírus SARS-CoV-2, causa desde infecções sem sintomas até problemas respiratórios muito graves, podendo matar
covid-19	doença contagiosa provocada pelo coronavírus SARS-CoV-2, causa desde infecções sem sintomas até problemas respiratórios muito graves, podendo matar
craniano 	referente ao crânio
crânio 	caixa óssea que protege o cérebro de danos externos
creatina 	substância orgânica (aminoácido) que ajuda a fornecer energia para as células musculares
crise epilética 	descarga elétrica entre os neurônios mais duradoura que o normal, podendo causar convulsão
crise epiléptica 	descarga elétrica entre os neurônios mais duradoura que o normal, podendo causar convulsão
crise oculogírica 	crise que provoca movimentos anormais no globo ocular
cristalino 	lente natural do olho responsável pelo foco da visão em diferentes distâncias
crônico	sem cura
cromossomos 	estruturas que contêm os genes (que carregam as informações genéticas de um ser vivo); nos seres humanos, cada célula contém 23 pares de cromossomos, incluindo os dois cromossomos responsáveis pelas características sexuais (XX na mulher e XY no homem)
cuidado paliativo 	abordagem interdisciplinar de assistência médica com o objetivo de otimizar a qualidade de vida e mitigar o sofrimento de pessoas com doenças graves e complexas ou sem cura
cuidador 	pessoa responsável por cuidar do paciente; pode ter vínculo familiar ou não, podendo ser um profissional contratado para tal função
cutâneo	 da pele
dbs 	do inglês "Deep Brain Estimulation"; o mesmo que Estimulação Cerebral Profunda (*Ver Estimulação Cerebral Profunda no glossário)
dançaterapia 	terapia que utiliza os movimentos corporais da dança como forma de tratamento
declínio cognitivo 	perda de funções como atenção, memória, linguagem e raciocínio
decúbito 	posição da pessoa que está deitada
decúbito dorsal 	deitado de barriga para cima
decúbito lateral 	deitado do lado esquerdo com a coxa e o joelho direitos junto ao peito
decúbito ventral 	deitado de barriga para baixo
deficiência intelectual 	atraso no desenvolvimento cognitivo de algumas pessoas que pode ser percebido por dificuldade de aprendizado, pouca interação com outras pessoas e incapacidade de realizar atividades simples
degeneração estriadonitral 	doença degenerativa dos neurônios (perda de neurônios)
degeneração estriatonigral 	doença degenerativa dos neurônios (perda de neurônios)
degeneração estrionígrica 	doença degenerativa dos neurônios (perda de neurônios)
degeneração nigroestriatal 	doença degenerativa dos neurônios (perda de neurônios)
degeneração 	mudança(s) para um estado pior
deglutição 	ação de engolir
deglutir 	engolir
delírio 	ideia ou pensamento que não corresponde à realidade
delirium 	ideia ou pensamento que não corresponde à realidade
demência 	perda de capacidades do cérebro, como capacidade intelectual, memória, raciocínio 
demência de corpos de lewy 	doença que causa a perda progressiva da função mental
demência senil 	perda de capacidade do cérebro pela velhice
demenciar 	processo de perda de capacidades do cérebro
densidade óssea 	quantidade de cálcio (grau de mineralização) que um osso tem
densitometria óssea 	exame que determina a densidade dos ossos da pessoa, importante no diagnóstico da osteoporose
depleção 	perda ou diminuição de substância presente no organismo, como sangue, água, sódio etc.
depressão 	doença que causa tristeza e desânimo constante, entre outros sintomas
dermatite atópica 	inflamação na pele caracterizado por lesões avermelhadas, que coçam muito e, às vezes, descamam; geralmente, elas se localizam na face das crianças pequenas e nas dobras do joelho e cotovelo das crianças maiores e dos adultos.
dermatite seborreico 	inflamação na pele que causa manchas vermelha e descamação, principalmente no couro cabeludo e em partes da face
derrame pleural 	conhecido como água no pulmão, é o acúmulo de líquidos dentro da pleura, membrana que reveste e protege o pulmão
desautonomia	quando o sistema nervoso autônomo (*Ver sistema nervoso autônomo) não funciona bem, afetando o coração, a bexiga, os intestinos, as glândulas de suor, as pupilas (olhos) e os vasos sanguíneos
desfibrilação 	dar choques elétricos no paciente, através de um desfibrilador (equipamento eletrônico) para reverter um quadro de fibrilação - ritmo fora do normal do coração
desfibrilador 	aparelho eletrônico médico usado para reverter um quadro de fibrilação - quando o ritmo do coração fica fora do normal
desidratação 	condição que pode ser grave, caracterizada por baixa concentração não só de água, mas também de sais minerais e líquidos no corpo, a ponto de impedir que o organismo realize suas funções normais
desidratar 	pessoa com baixa concentração de água, sais minerais e líquidos orgânicos no organismo
desmopressina 	medicamento que reduz a produção de urina
desnutrição 	falta de nutrientes suficientes no corpo causada por má alimentação ou doença
desordem neurológica 	doença que atinge o sistema nervoso central
desorientação 	estado de confusão em relação ao tempo, espaço e/ou identidade
desorientação temporoespacial 	confusão em relação ao tempo e ao espaço
desorientação temporo espacial 	confusão em relação ao tempo e ao espaço
diabetes 	doença causada pela produção insuficiente ou má absorção de insulina, que é o hormônio que regula a glicose (açúcar) no sangue; um alto índice de glicose no sangue pode causar danos aos órgãos, vasos sanguíneos e nervos
diabetes mellitu 	doença causada pela produção insuficiente ou má absorção de insulina, que é o hormônio que regula a glicose (açúcar) no sangue; um alto índice de glicose no sangue pode causar danos aos órgãos, vasos sanguíneos e nervos
diafragmar 	músculo que separa o tórax do abdomém e que ajuda nos movimentos da respiração
diagnóstico 	definição do tipo de doença
diagnóstico clínico 	definição de uma doença pelos sinais e sintomas
diagnóstico diferencial 	definição do tipo de doença feito por exclusão, processo de eliminação de outras doenças
diagnóstico histopatológico 	definição da doença através da análise dos tecidos e células
diagnóstico precoce 	é uma forma de prevenção e visa a identificar a doença em estágios iniciais
diálise 	tratamento que substitui a função dos rins
diástole 	período de relaxamento muscular ou recuperação do músculo cardíaco; período em que o coração está relaxado, e alterna com o período de contração muscular
diencéfalo 	*sem definição
dieta cetogênica 	dieta com alto consumo de gordura, proteína moderada e baixo carboidrato 
digestão 	processo de transformação física e química que faz com que os nutrientes dos alimentos que comemos cheguem até as células para nutrir o nosso corpo
digestivo 	relativo à digestão ou ao sistema digestivo (*Ver digestão / sistema digestivo no glossário)
digestório 	relativo à digestão ou ao sistema digestivo (*Ver digestão / sistema digestivo no glossário)
diplopia 	visão dupla, em que os indivíduos veem duas imagens no objeto
disartria 	fraqueza nos músculos usados na fala, o que pode deixar a fala arrastada ou lenta
disautonomia 	condição em que o sistema nervoso autônomo (SNA) não funciona corretamente, podendo afetar o funcionamento do coração, da bexiga, dos intestinos, das glândulas sudoríparas, das pupilas e dos vasos sanguíneos
discinesia 	distúrbio em que a pessoa faz movimentos amplos e involuntários
discrasia 	condição anormal ou patológica do sangue
disdiadococinesia 	dificuldade de fazer movimentos rápidos em sequência
disfagia 	dificuldade na deglutição
disfasia 	dificuldade para falar ou usar as palavras corretamente
disfemia 	distúrbio de fala envolvendo problemas frequentes com a fluência e o fluxo normais da fala; gagueira
disfluência 	distúrbio da fala no qual o fluxo normal da fala é prejudicado, como na gagueira
disfonia 	dificuldade para emitir sons, voz alterada ou fraca
disforia 	estado de desconforto, tristeza ou mal-estar
disfunção 	distúrbio, funcionamento anormal
disfunção erétil 	incapacidade de o homem conseguir obter e manter uma ereção do pênis suficiente que possibilite uma atividade sexual
disfunção miccional 	termo genérico para se referir a problemas de função da bexiga urinária, que incluem dificuldades no armazenamento ou esvaziamento da urina
disfunção olfativa 	capacidade reduzida para sentir cheiros
disfunção sexual 	dificuldade sentida por uma pessoa ou casal durante qualquer estágio da atividade sexual, incluindo desejo, excitação ou orgasmo
disfunção visual 	problemas de visão
disfunção autonômica 	condição em que o sistema nervoso autônomo (SNA) não funciona corretamente, podendo afetar o funcionamento do coração, da bexiga, dos intestinos, das glândulas sudoríparas, das pupilas e dos vasos sanguíneos
dislipidemia 	aumento da taxa de gordura no sangue
dismetria 	execução defeituosa de movimentos que visam atingir um alvo, pois o indivíduo não consegue dosar exatamente o movimento
disosmia 	diminuição do olfato
dispareunia 	dor genital persistente ou recorrente que surge pouco antes, durante ou após a relação sexual
dispepsia 	sensação de dor ou desconforto na parte superior do abdomên, queimação, causada por dificuldade na digestão
displasia 	ocorrência de anomalias relacionadas ao desenvolvimento de um órgão ou tecido; indica a presença de alterações nas características das células, que podem sofrer modificações de forma, tamanho, organização e função
dispneia 	respiração difícil ou dolorosa; dificuldade na respiração
disprosódia 	alteração no ritmo da fala; o mesmo que disrimolalia
disritmolalia 	alteração no ritmo da fala; o mesmo que disprosódia
dissecação 	ato de separar em partes; abertura e/ou separação de organismos mortos para estudo
distal 	afastado do tronco
distensão muscular 	rompimento de um músculo ou de tecido muscular que liga o músculo ao osso
distonia 	contrações musculares involuntárias que causam movimentos repetitivos ou de torção
distônica 	relativo à distonia (*Ver distonia no glossário) 
distrofia 	desenvolvimento anormal
distrofia muscular 	grupo de doenças genéticas que causa fraqueza progressiva e perda de massa muscular
distúrbio 	funcionamento anormal de um órgão ou sistema do corpo
distúrbio comportamental de o sono rem 	problema com pesadelos nos quais a pessoa grita, chora, dá socos ou pontapés. Pode ser um problema anterior ao desenvolvimento da doença de Parkinson
distúrbio não motor 	distúrbios não relacionados ao movimento, que podem incluir depressão, demência etc
distúrbio de movimento 	doenças que causam problemas nos movimentos; dificuldades para se movimentar
distúrbio de o sono 	dificuldades para pegar no sono ou durante o sono
distúrbio autonômico 	quando o sistema nervoso autônomo (*Ver sistema nervoso autônomo no glossário) não funciona bem, afetando o coração, a bexiga, os intestinos, as glândulas de suor, as pupilas (olhos) e os vasos sanguíneos
distúrbios cerebelar 	funcionamentos anormais relacionados ao cerebelo (*Ver cerebelo no glossário)
distúrbios neurocomportamental 	problemas de comportamento da pessoa associados a problemas neurológicos que ela tenha
distúrbio neuropsiquiátrico 	problemas de comportamento da pessoa associados a problemas neurológicos que ela tenha
distúrbio psiquiátrico 	condições que afetam o humor, o raciocínio e o comportamento
distúrbio vestibular 	tontura e desequilíbrio
distúrbios visual 	problemas na visão como escurecimento da visão, distorções de imagem etc.
diurese 	aumento de excreção de urina
diurético 	medicamentos utilizados para aumentar o volume urinário, atuando na redução do líquido presente no corpo, bem como reduzindo a pressão arterial
dna 	conjunto de moléculas que carrega a informação genética de todos os seres vivos (características da espécie e do indivíduo)
doença autoimune 	doença em que o sistema imunológico do corpo ataca células saudáveis
doença autossômica dominante 	tipos de doenças que aparecem em todas as gerações de uma família e apenas um gene do pai ou da mãe é necessário para que a doença seja transmitida
doença autossômica recessivo 	tipos de doenças que precisam de dois genes ou mais com defeito, do pai e da mãe, para que a doença seja transmitida para o filho(a)
doença crônica 	doença sem cura e que exige que a pessoa faça uso contínuo de medicação
doença crônico neurodegenerativa 	doença que causa a perda progressiva da saúde dos neurônios do cérebro
doença de alzheimer 	doença progressiva que destrói a memória e outras funções mentais importantes
doença de corpos de lewy 	doença que causa a perda progressiva da função mental
doença de parkinson 	doença que ataca o sistema nervoso, ainda não tem cura. Não passa de pessoa para pessoa. A pessoa com Parkinson vai perdendo a capacidade de controlar seus movimentos. Os principais sintomas são: tremor nas mãos ou braços, lentidão, dificuldade para manter o equilíbrio, levantar e caminhar.
doença congênita 	doença cuja origem ocorre antes do nascimento
doença neurodegenerativa e crônica 	doença que causa a perda progressiva da saúde dos neurônios do cérebro
doença bucal 	doença que afeta a boca
doença degenerativo 	tipo de doença em que a condição da pessoa vai piorando aos poucos
doença extrapiramidal 	doença que ocorrem em uma parte do cérebro que controla os movimentos
doença genética 	doença hereditária causada por uma anormalidade no DNA
doença hereditária 	doença transmitida de geração em geração
dopamina 	substância que atua como uma mensageira entre as partes do cérebro e o sistema nervoso, ajudando no controle e na coordenação dos movimentos, entre outras funções
dopaminérgico 	relacionado à dopamina (hormônio muito importante naturalmente produzido no cérebro que ajuda a realizar uma série de funções, como controlar os movimentos, sentir cheiros, lembrar das coisas etc.)
dopler 	exame que usa ultrassom para determinar a velocidade do fluxo de sangue dentro dos vasos
dor aguda 	dor forte que surge repentinamente e tem sua duração limitada; normalmente quando a causa é descoberta a dor pode ser controlada ou eliminada
dor crônica 	dor persistente que dura de semanas a anos
dor fulgurante 	dor rápida e intensa
dor lancinante 	dor em golpes, aguda e forte
dor radicular 	originada por lesão ou irritação em um ou mais nervos e suas raízes nervosas que passam pela coluna vertebral
dosagem 	dose do medicamento; a quantidade de medicamento capaz de provocar uma resposta terapêutica desejada no paciente
dosagem prescrito 	a quantidade de medicamento recomendada pelo médico para que o tratamento surta efeito
dp 	forma abreviada de Doença de Parkinson (*Ver Doença de Parkinson no glossário)
dpoc 	Doença Pulmonar Obstrutiva Crônica: grupo de doenças pulmonares que bloqueiam o fluxo de ar e dificultam a respiração
droga 	medicamento
droga sintética 	substâncias ou mistura de substâncias produzidas através de meios químicos
duloxetina 	antidepressivo; medicamento que trata depressão e outros distúrbios psiquiátricos
duodeno 	parte inicial e mais curta do intestino delgado e sua principal função é receber os alimentos parcialmente digeridos do estômago e continuar o processo digestivo
ecocardiograma 	exame de ultrassonografia do coração que fornece imagens obtidas através do som
ecolalia 	repetição mecânica e sem parar de palavras ou frases 
ecp 	Estimulação Cerebral Profunda: cirurgia mais utilizada para combater os sintomas de doenças neurológicas, como tremores
eczema 	inflamação na pele
edema 	inchaço causado por excesso de líquido retido nos tecidos do corpo
edema periférico 	inchaço nas extremidades
edêntulo 	sem dentes
efeito "wearing off " 	redução do efeito do medicamento
efeito neuroprotetor 	mecanismos e estratégias usados para proteger os neurônios contra danos decorrentes de enfermidades que afetam o Sistema Nervoso Central
efeito colateral 	efeito diferente do pretendido de um medicamento
efeito adverso 	quaisquer efeitos indesejados de um medicamento
ecg 	eletrocardiograma; exame feito com um aparelho ligado a eletrodos que avalia o ritmo dos batimentos cardíacos em repouso
ecmo 	máquina que substitui o coração e o pulmão em pacientes graves
egg 	eletroencefalograma; exame utilizado para registrar a atividade elétrica do cérebro e detectar doenças
eletrocardiograma 	exame feito com um aparelho ligado a eletrodos que avalia o ritmo dos batimentos cardíacos em repouso, o mesmo que ECG
eletrodar 	peça metálica constituída por 4 contatos elétricos na sua ponta que é implantada no alvo cerebral escolhido
eletroencefalograma 	exame utilizado para registrar a atividade elétrica do cérebro e detectar doenças; o mesmo que EGG
eletromiografia 	exame que grava da atividade elétrica de um músculo; o mesmo que EMG
embolia 	obstrução de um vaso ou artéria por um coágulo levado pela corrente sanguínea
embolia arterial 	obstrução de um vaso ou artéria por um coágulo levado pela corrente sanguínea
embolia cerebral 	ocorre quando um coágulo de sangue viaja até o cérebro, causando um AVC (derrame) ou um AIT (*Ver no glossário)
embolia pulmonar 	quando artérias (vasos) do pulmão ficam bloqueadas por coágulos de sangue (formas sólidas do sangue)
êmese 	vômito 
emg 	eletromiografia; exame que grava a atividade elétrica de um músculo
encefálico 	relativo ao encéfalo (*Ver encéfalo no glossário)
encefalite 	inflamação do cérebro
encefalite letárgica 	também conhecida como doença europeia do sono, que causa  letargia, sonolência incontrolável e tremores
encéfalo 	centro do sistema nervoso responsável pelo processamento e integração das informações do nosso corpo; não é o mesmo que cérebro, pois o encéfalo engloba outras partes do sistema nervoso
encefalopatia 	termo usado para qualquer doença cerebral que altera o funcionamento ou a estrutura do cérebro
encefalopatia de o pugilista 	doença cerebral causada por trauma na cabeça
endemia 	presença contínua de uma doença ou de um agente infeccioso em uma zona geográfica determinada
endocárdio 	revestimento interno do coração
endocrinologia 	especialidade médica que cuida do funcionamento das glândulase e das doenças que as afetam, como problemas de crescimento, diabetes, obesidade, osteoporose, entre outras
endocrinologista 	médico que cuida das doenças relacionadas às glándulas e aos hormônios produzidos e secretados por elas
endógeno 	que se origina no interior do organismo
endoscopia 	exame nos órgãos do sistema digestivo para avaliar doenças como refluxo, gastrite e câncer
endoscópio 	aparelho usado para exame visual interno
endovenoso 	injeção por agulha o catéter dentro das veias; o mesmo que intravenoso
enfarte 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
enfarto 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
enfarto de o miocárdio 	ocorre quando o fluxo de sangue deixa de chegar ao miocárdio (músculo cardíaco), fazendo com que esse músculo seja danificado ou morra; ataque do coração 
enfermidade 	doença
enfermo 	doente
entacapona 	tipo de medicamento utilizado no tratamento da Doença de Parkinson
entubar 	colocar tubo ou sonda no paciente
extubar 	remover tubo ou sonda do paciente
enurese 	perda de controle da bexiga, variando de uma ligeira perda de urina após espirrar, tossir ou rir até a total incapacidade de controlar a micção
enxaqueca 	dor de cabeça de intensidade variável, muitas vezes acompanhada de náuseas e sensibilidade à luz e ao som; também conhecida como hemialgia
enzima 	proteína que acelera reações químicas no corpo. As enzimas são muito importantes para manter as atividades celulares saudáveis. Alterações nas enzimas podem ter um papel importante na Doença de Parkinson. 
epidemia 	doença de caráter transitório, que ataca simultaneamente grande número de indivíduos em uma determinada localidade
epidemiologia 	estudo de padrões, causas e controle da doença em grupos de pessoas.
epiderme 	camada externa da pele
epilepsia 	distúrbio cerebral crônico de diferentes origens caracterizado por crises epilépticas recorrentes e espontâneas
epinefrina 	hormônio produzido pelo nosso corpo e remédio com efeitos em diferentes sistemas do corpo; quando remédio pode ser usado em situações de emergência como crises de alergia grave e em muitas outras situações 
episódio 	um único acontecimento importante em uma série de eventos, como um período crítico no curso de uma doença
equimose 	mancha avermelhada ou escura formada na pele por sangue extravasado em consequência de contusão
ereto 	posição de pé
eritema 	tipo de vermelhidão da pele
eritema multiforme 	inflamação na pele caracterizada por placas vermelhas e salientes em todo o corpo
eritema nodoso 	inflamação da camada de gordura abaixo da pele que provoca caroços (nódulos) vermelhos ou roxos 
eritrócito 	hemácias ou glóbulos verbelhos, são células sanguíneas que exercem importante papel na oxigenação dos tecidos, responsáveis pela cor vermelha do sangue
eritromelalgia 	síndrome rara em que pequenas artérias (vasos) da pele se dilatam, provocando dor semelhante a queimação, sensação de pele quente e vermelhidão
escala de apgar 	numeração que expressa a condição de uma criança recém-nascida a um minuto do nascimento e novamente depois de cinco minutos
escala de ashworth 	escala mais utilizada na avaliação e mensuração da espasticidade (tônus muscular aumentado). Varia de 0 a 4
escala de lawton 	mede a capacidade dos idosos de realizarem atividades mais complexas que as atividades básicas da vida diária; o mesmo que índice de Lawton
esclerose 	degeneração dos tecidos, que pode ocorrer em vários órgãos e estruturas do corpo, como nervos, pulmões etc.
esclerose hipocampal 	atrofia de uma parte do cérebro chamada hipocampo (*Ver hipocampo no glossário)
esclerose de o hipocampo 	atrofia de uma parte do cérebro chamada hipocampo (*Ver hipocampo no glossário)
esclerose mesial 	*sem definição
esclerose múltipla 	doença autoimune que afeta o cérebro, os nervos ópticos e a medula espinhal (sistema nervoso central); o sistema imunológico do corpo confunde células saudáveis com células "intrusas", e as ataca provocando lesões.
escoliose 	curvatura lateral anormal da coluna
escorar de apgar 	numeração que expressa a condição de uma criança recém-nascida a um minuto do nascimento e novamente depois de cinco minutos
escotoma 	perda total ou parcial da capacidade de visão de uma região do campo visual, que geralmente se encontra rodeado por uma área onde a visão está preservada; ponto cego
esfignomanômetro 	aparelho usado para para medir a pressão arterial
esfíncter 	estrutura, normalmente um músculo, que ajuda a controlar orifícios no nosso corpo. Abre ou fecha orifícios.
esofagite 	inflamação do esôfago que pode provocar dor e dificuldade para engolir
esôfago 	canal que conduz o alimento até o estômago
espasmo 	contração involuntária de um músculo
espasmódico 	que causa ou que tem espamos (*definição de espasmo)
espasticidade 	estado anormal do músculo envolvendo hipertonia (aumento do tônus) e hiperrreflexia (aumento dos reflexos)
esperança de vida a o nascer 	média de anos que um grupo de indivíduos nascidos no mesmo ano irá viver, se mantidas as mesmas condições desde o seu nascimento; o mesmo que expectativa de vida
espinha dorsal 	eixo central do corpo responsável por sustentar a nossa posição bípede; além disso, é um importante eixo de comunicação entre o sistema nervoso central e periférico, através da medula espinhal; o mesmo que espinha dorsal
esplenomegalia 	aumento do baço
estabilidade dinâmica 	equilíbrio ao se movimentar
estabilidade estática 	equilíbrio ao ficar parado
estadiamento 	avaliação da extensão do tumor no paciente
estereognosia 	capacidade de perceber com as mãos a forma e o tamanho de um objeto
estereotaxia 	cirurgia pouco invasiva que usa um sistema de coordenadas tridimensional para localizar pequenos alvos no interior do corpo e para executar nestes alguma atividade, como estimulação, lesão, injeção, implante etc.
estereotipia 	ação repetitiva e ritualística no movimento, postura ou fala
esteroides 	tipo de hormônio que controla várias funções do nosso corpo, como as características sexuais de uma pessoa e o controle metabólico
estetoscópio 	instrumento para auxiliar a escuta de ruídos internos do organismo
estimulação cerebral profunda 	leva estímulos elétricos a regiões específicas do cérebro; cirurgia mais utilizada para combater sintomas de doenças neurológicas, como tremores
estimulação colinérgica 	estimulação dos nerurônios colinérgicos (*Ver neurônios colinérgicos no glossário)
estimulação dopaminérgica 	estímulo para que o cérebro libere mais dopamina (*Ver dopamina no glossário)
estimulação magnética transcraniana 	*sem definição
estimulação magneto térmica 	nova técnica minimamente invasiva utilizada para ativar pequenos grupos de células no cérebro
estimulação talâmica 	estímulo dos neurônios da região do tálamo (*Ver tálamo no glossário)
estímulo dopaminérgico 	estímulo para que o cérebro libere mais dopamina (*Ver dopamina no glossário)
estiramento 	rompimento de um músculo ou de tecido muscular que liga o músculo ao osso
estômago 	órgão presente no tubo digestivo onde os alimentos são pré-digeridos e esterilizados, a fim de seguirem para o intestino, onde são absorvidos.
estomatite aftoso 	aftas na boca
estrabismo 	desvio anormal do olho; vesguice
estresse 	resposta do organismo (física ou mental) a um evento de esforço extremo ou importante, geralmente quando a pessoa se sente ameaçada ou sob pressão
estresse oxidativo 	quando a membrana celular (*definição de membrana celular) se rompe, liberando substâncias tóxicas no organismo
estressores primário 	a pesquisar
estressores secundário 	a pesquisar
estriar 	parte central do cérebro com neurônios importantes; é uma das partes mais afetadas por doenças neurológicas como Doença de Parkinson e Alzheimer
estrogênio 	hormônios cuja ação está relacionada com o controle da ovulação e com o desenvolvimento de características femininas
estudo randomizados 	estudos nos quais os grupos estudados são divididos randomicamente/aleatoriamente
estupor 	falta de resposta em que a pessoa somente pode ser despertada com estímulo físico vigoroso
etiologia 	estudo que busca as causas, por exemplo, de uma doença
etopropazina 	tipo de medicamento utilizado no tratamento da Doença de Parkinson e outras doenças
eupneia 	respiração normal
eutanásia 	ato intencional de proporcionar a alguém uma morte indolor para aliviar o sofrimento causado por uma doença incurável
evento adverso 	qualquer ocorrência médica desfavorável ao paciente e que não tem relação causal com o tratamento
evidência clínica 	sinais e sintomas que confirmam doenças
exame ocular 	exame realizado nos olhos para avaliar a visão do paciente
exame oftalmológico 	exame que avalia os olhos, as pálpebras e os canais lacrimais de forma a investigar doenças oculares, como o glaucoma ou a catarata, por exemplo
exame audiológico 	exames que medem a audição
exame laboratorial 	exames feitos em laboratório
exame histopatológico 	exame microscópico do tecido para diagnóstico de câncer; este exame também serve para diagnosticar outras patologias, como tuberculose, micoses, infecções etc
exame neuroimagiológico 	exame de imagem do sistema nervoso
excitotoxicidade 	quando as células nervosas são super estimuladas por impulsos nervosos, causando danos ou a morte das células
exérese 	remoção por cirurgia
exoma 	exame que identifica doenças genéticas
éxons 	regiões dos genes que codificam proteínas
espectativa de vida 	média de anos que um grupo de indivíduos nascidos no mesmo ano irá viver, se mantidas as mesmas condições desde o seu nascimento; o mesmo que expectativa de vida
eupnéica 	respiração normal
expectorante 	que ou o que facilita a saída de secreções por via respiratória (diz-se de substância, medicamento etc.).
expectorar 	liberar secreções
expiração 	processo de soltar o ar
expirar 	soltar o ar
exposição crônica 	quando a pessoa é exposta a algo ou substância por muito tempo
extremidade 	mãos, pés e orelhas
fabulação 	substituir a realidade por uma aventura imaginária
fácies de máscara 	fisionomia inexpressiva, mímica facial diminuída; olhar parado, vago e fixo
fácies parkisoniana 	sintoma de doenças como Parkinson entre outras, fisionomia inexpressiva, mímica facial diminuída; olhar parado, vago e fixo
fadiga 	cansaço, exaustão
faringe 	tem a função de fazer a passagem do ar inalado e dos alimentos ingeridos até os outros órgãos dos sistemas respiratório e digestório
fármaco 	medicamento
farmacologia 	ciência que estuda como os medicamentos ou substâncias interagem com o organismo, sendo capazes de promover alterações funcionais e estruturais
farmacológico 	relativo à farmacologia (*Ver farmacologia no glossário)
farmacoterapia 	tratamento de pacientes com uso de medicamentos
fáscia 	faixa de tecido que circunda o músculo
fator ambiental 	fatores que podem contribuir para uma doença e que provêm do ambiente onde o indivíduo está inserido, como doenças causadas pela falta de saneamento básico
fator de risco 	qualquer situação que aumente a probabilidade de ocorrência de uma doença ou agravo à saúde
fator genético 	fatores que contribuem para o surgimento de uma doença e que foram passados pelos genes dos pais para seus filhos
fator predisponente 	fatores que criam as condições para o surgimento de uma doença. Os fatores predisponentes, ou seja, que contribuem para a pessoa ter pressão alta são estar acima do peso, estresse, fumar e não fazer exercícios
fda 	do inglês Food and Drug Administration: órgão governamental dos Estados Unidos responsável pelo controle de alimentos (tanto humano como animal), suplementos alimentares, medicamentos (humano e animal), cosméticos, equipamentos médicos, materiais biológicos e produtos derivados do sangue humano 
febril 	com febre
fêmur 	osso longo da coxa; maior osso do corpo humano
fenótipo 	características observáveis de um ser determinadas pela genética e pelo meio ambiente, ex.: cor do cabelo, tom da pele etc.
festinação 	aceleração não controlada dos passos para não cair para frente
fibra motor 	fibras que fazem parte dos nervos e levam os impulsos produzidos no sistema nervoso (*definição de sistema nervoso) para os órgãos onde a ação será realizada
fibra sensorial 	fibras que fazem parte dos nervos e levam as informações obtidas no meio ambiente e no interior do nosso organismo para os locais onde essas informações serão analisadas no Sistema Nervoso Central (*definição de SNC)
fibrilação 	frequência cardíaca irregular e muitas vezes acelerada que geralmente provoca má circulação sanguínea
fibromialgia 	doença que causa dor crônica e generalizada (difusa) nos músculos e em outros tecidos moles em áreas distintas
fibrose 	endurecimento maior que pode ocorrer qualquer região do corpo, geralmente na pele, gordura ou músculos
fígar 	órgão do sistema digestivo, o fígado exerce muitas funções fudamentais no nosso corpo, desde metabolizar e armazenar nutrientes até a filtragem de micro-organismos e a desintoxicação do corpo
fisiologia 	parte da biologia que estuda a atividade e as funções normais do corpo
fisiopatologia 	funcionamento da doença
fisioterapeuta 	profissional dedicado ao tratamento e à prevenção de doenças e lesões decorrentes de fraturas ou má-formação ou vícios de postura
fisioterapia 	técnicas guiadas por um profissional usadas no tratamento de problemas com os movimentos do corpo
fisioterápico 	relativo à fisioterapia (*Verfisioterapia no glossário)
fissurar 	fenda ou corte que ocorre em uma parte de um órgão
fissura anal 	pequeno corte que ocorre na borda anal e que tem como causas principais a prisão de ventre e fezes muito volumosas e endurecidas
flato 	gases; pum; peido; o mesmo que flatulência
flatulência 	gases intestinais
flora intestinal 	conjunto de microrganismos que vive em nosso intestino grosso; quando estão em harmonia ajudam no metabolismo e nas defesas do corpo, quando se desequilibram podem causar doenças; o mesmo que microbiota intestinal
fluência verbal 	facilidade para encontrar as palavras que se queira dizer ou usar
fluoxetina 	medicamento utilizado para tratar depressão e outros distúrbios mentais
flutuação motor 	problemas na coordenação motora do paciente; um dos efeitos adversos de medicamentos utilizados para tratar a Doença de Parkinson
flutuações não motor 	inclui sintomas não relacionados à coordenação motora, como distúrbios do humor, depressão, etc. e cognitivos, como falta de atenção, esquecimento, problemas de linguagem, entre outros
fonação 	traballho muscular para produzir a voz
fonoaudiologia 	ciência que estuda a fala. Conjunto técnicas guiadas por um profissional usadas para tratar problemas de fala.
fonoaudiológico 	relativo à fonoaudiologia (*Ver fonoaudiologia no glossário)
fonoterapia 	técnica que utiliza exercícios específicos para estimular a linguagem, fala, audição, motricidade oral e voz
fotofobia 	intolerância visual à luz
fotossensibilidade 	sensibilidade à luz, claridade ou ao sol.
fratura 	quebra do osso em um ou mais pedaços
